epoch,train_loss,val_loss
0,0.000870787933235988,0.0010458414601162075
1,7.47711441363208e-05,0.001044817099813372
2,3.881059174351061e-05,0.0010661761020310224
3,2.708103565964848e-05,0.0010595080368220806
4,2.348112870614776e-05,0.0010836790362372993
5,2.1193391803535632e-05,0.0010650740321725607
6,2.0746816460034876e-05,0.0010703644244931638
7,1.8166714643094954e-05,0.001064774223137647
8,1.678525408351561e-05,0.001057065018452704
9,1.4267908684684829e-05,0.0010725947893224657
10,1.6997348398685322e-05,0.0010653925379738212
