epoch,train_loss,val_loss
0,0.0009208299206303699,0.0009031571827363223
1,6.032954649916584e-05,0.0009172891762573272
2,2.2261575894455227e-05,0.0009413129885215313
3,1.2137334059454069e-05,0.0009562897093128412
4,8.710187117425708e-06,0.0009469545644242316
5,7.3455977690173314e-06,0.000946285993559286
6,7.011290599621134e-06,0.0009365817038342357
7,6.13240241559002e-06,0.0009473457811400294
8,7.382130763419679e-06,0.0009436723433900625
9,6.946033937700642e-06,0.0009368811976164579
10,7.041795421563231e-06,0.0009468078510835767
