epoch,train_loss,val_loss
0,0.0009288400462329654,0.0008145799310877919
1,7.21249761720953e-05,0.0008242405960336328
2,3.374013663622983e-05,0.0008292594952508807
3,2.3614155564116247e-05,0.0008561561135575175
4,1.825639941411542e-05,0.0008547372445464134
5,1.634394196766412e-05,0.0008549574157223106
6,1.6371266397722397e-05,0.0008436362426728011
7,1.3321348971138443e-05,0.0008504322841763497
8,1.1391966299925116e-05,0.000861636103130877
9,1.3062604910893631e-05,0.00085711155179888
10,1.2206754859757244e-05,0.000856142490170896
