epoch,train_loss,val_loss
0,0.0009026893638656475,0.0014739102683961392
1,6.608366454851681e-05,0.0014557053921744228
2,2.5213119240236534e-05,0.0014679536148905754
3,1.345383049348519e-05,0.0014827495869249106
4,9.547931296245743e-06,0.0014838508181273936
5,7.856570060279669e-06,0.0014908158164471388
6,7.03471073068483e-06,0.0014856097381561995
7,6.597862737050621e-06,0.0014927774220705031
8,6.772515414143397e-06,0.0014899134440347552
9,7.2052316201214645e-06,0.001484244924969971
10,6.051728204121381e-06,0.0014807252511382103
11,5.749423085684871e-06,0.001480872101150453
