epoch,train_loss,val_loss
0,0.0009051090579928964,0.0008882787213660777
1,7.754914788945045e-05,0.0008986813360825181
2,4.045213077915832e-05,0.0009406357207335531
3,2.866354232017849e-05,0.0009365980043075979
4,2.413618620006933e-05,0.0009313077782280744
5,2.1082905566020468e-05,0.0009464514581486583
6,2.034457934704343e-05,0.0009393275696784257
7,1.69537928767178e-05,0.0009343592431396246
8,1.6973202704580868e-05,0.0009317577606998384
9,1.4644272688591238e-05,0.0009490016722120345
10,1.2914040006372877e-05,0.0009384739883244038
