model,category,pearson_delta,mse,de_pearson_delta,direction_accuracy,n_perturbations
MLP (ens22),test_combo_0_unseen,0.8945310115814209,0.0014187111109177667,0.9465888847004283,0.9954545454545454,22
MLP (ens22),test_combo_1_unseen,0.6679212583192423,0.003544600027631603,0.728153279562499,0.8584313725490196,51
MLP (ens22),test_combo_2_unseen,0.2679625295102596,0.011703678080812097,0.4176459342241287,0.6679999999999999,5
MLP (ens22),test_unseen_single,0.27123101700383884,0.002917028747525854,0.3021465330742873,0.6946153846153845,26
MLP (ens22),"train (seen, sanity check)",0.9578975061220782,0.00012499514699421916,0.9839358782129628,0.9948214285714286,112
MLP (ens22),val (held-out train genes' combo),0.8298881113529205,0.0008871692225511651,0.9101731568574906,0.961,20
