model,category,pearson_delta,mse,de_pearson_delta,direction_accuracy,n_perturbations
MLP (ens11),test_combo_0_unseen,0.8926142101938074,0.0015578798576660286,0.9438361579721625,0.9918181818181818,22
MLP (ens11),test_combo_1_unseen,0.6556684439088784,0.003610324166491445,0.7162429793354343,0.8584313725490196,51
MLP (ens11),test_combo_2_unseen,0.3134558469057083,0.011543891252949834,0.40160415768623353,0.748,5
MLP (ens11),test_unseen_single,0.27460236130998683,0.002888935717727201,0.3114439028386886,0.7015384615384614,26
MLP (ens11),"train (seen, sanity check)",0.9822200339819703,3.6347461208460376e-05,0.9933457369250911,0.99875,112
MLP (ens11),val (held-out train genes' combo),0.8097551211714744,0.0014555938731064088,0.8986105620861053,0.9570000000000001,20
