model,category,pearson_delta,mse,de_pearson_delta,direction_accuracy,n_perturbations
MLP (ens33),test_combo_0_unseen,0.888303816318512,0.0014739868678258392,0.9414147924293171,0.9845454545454545,22
MLP (ens33),test_combo_1_unseen,0.6809621457667911,0.0036161928038185866,0.7376715221679678,0.8741176470588234,51
MLP (ens33),test_combo_2_unseen,0.3271158874034882,0.011373287765309215,0.4094137489795685,0.804,5
MLP (ens33),test_unseen_single,0.2895368177157182,0.002851654944466785,0.33516982512978405,0.7146153846153845,26
MLP (ens33),"train (seen, sanity check)",0.957989400518792,0.00011608021882076563,0.9830441331224782,0.995,112
MLP (ens33),val (held-out train genes' combo),0.8493280351161957,0.0010450603243953084,0.9336868852376938,0.9630000000000001,20
