epoch,train_loss,val_loss
0,0.0009144120207721634,0.0010844294605776668
1,8.288627041370741e-05,0.0010550177237018943
2,4.12853774469113e-05,0.0010892162481322884
3,2.9144233469976046e-05,0.0010797010995447635
4,2.488431485419694e-05,0.0010834232494235038
5,2.2134152202072853e-05,0.0010880317352712154
6,2.037261906350198e-05,0.0010674493592232467
7,1.7162120683289167e-05,0.0010657323617488145
8,1.3891052388186965e-05,0.0010705926166847347
9,1.4988730487987466e-05,0.001061454150825739
10,1.3732019368554964e-05,0.0010700051039457322
11,1.2373058904943589e-05,0.0010721788769587875
