epoch,train_loss,val_loss
0,0.0021829344488547317,0.0025230495408177377
1,0.0007452336075117013,0.0030301547069102527
2,0.0003508334350772202,0.0030401706490665674
3,0.0001932146493761268,0.00316883696988225
4,0.00011518083101171734,0.0034869857877492904
5,7.118465801925465e-05,0.0036536599453538656
6,4.8444524769105814e-05,0.003797442067414522
7,3.3474122714583895e-05,0.0038522351887077095
8,2.392014430889893e-05,0.00394757710210979
9,2.135336044635291e-05,0.00401687821932137
10,1.8841283615204572e-05,0.0040178582761436704
