model,category,pearson_delta,mse,de_pearson_delta,direction_accuracy,n_perturbations
MLP (ens55),test_combo_0_unseen,0.8928551890633323,0.0014775512714880858,0.9475411366332661,0.9945454545454545,22
MLP (ens55),test_combo_1_unseen,0.6770657759671118,0.0034441544854666526,0.7352898253821859,0.8662745098039215,51
MLP (ens55),test_combo_2_unseen,0.4017844021320343,0.011166552314534783,0.5028222620487213,0.8039999999999999,5
MLP (ens55),test_unseen_single,0.3351005966273638,0.0027228129541841694,0.3957724075477857,0.746923076923077,26
MLP (ens55),"train (seen, sanity check)",0.9586977948035512,0.0001188170064015789,0.9838198061500277,0.9964285714285713,112
MLP (ens55),val (held-out train genes' combo),0.8486159652471542,0.000814064569567563,0.9250535577535629,0.969,20
