model,category,pearson_delta,mse,de_pearson_delta,direction_accuracy,n_perturbations
"MLP ensemble (5 seeds, mean)",test_combo_0_unseen,0.9160713255405426,0.0012180476293327626,0.9535285803404722,0.9927272727272727,22
"MLP ensemble (5 seeds, mean)",test_combo_1_unseen,0.6901685608660474,0.003377534873674021,0.7357837635950715,0.872156862745098,51
"MLP ensemble (5 seeds, mean)",test_combo_2_unseen,0.39100290536880494,0.011304633831605316,0.45232042074203493,0.8160000000000001,5
"MLP ensemble (5 seeds, mean)",test_unseen_single,0.3148058966661875,0.0027878277838821164,0.333843741279382,0.7376923076923076,26
"MLP ensemble (5 seeds, mean)",train,0.9649264871171026,0.00012862789603476895,0.9843997512802933,0.9981818181818181,132
