model,category,pearson_delta,mse,de_pearson_delta,direction_accuracy,n_perturbations
MLP (ens44),test_combo_0_unseen,0.9026178202845834,0.0013870349251771006,0.9494885748082941,0.9927272727272727,22
MLP (ens44),test_combo_1_unseen,0.6738524269677845,0.003425025612266515,0.7278020813257671,0.8650980392156862,51
MLP (ens44),test_combo_2_unseen,0.3125948697328568,0.011377041647210717,0.3949263274669647,0.7,5
MLP (ens44),test_unseen_single,0.2555410169208279,0.0029168149910849305,0.2833551113995222,0.6984615384615385,26
MLP (ens44),"train (seen, sanity check)",0.9595036421503339,0.00010841343942859436,0.9834871696574348,0.9964285714285713,112
MLP (ens44),val (held-out train genes' combo),0.8565644294023513,0.0009027048421557992,0.9276021033525467,0.9810000000000001,20
